circuitId,name,lat,lng,locality,country,url
BAHRAIN,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,https://www.formula1.com/en/racing/2023/Bahrain/Circuit.html
SAUDI,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,https://www.formula1.com/en/racing/2023/Saudi_Arabia/Circuit.html
